id,name,kana,category,lat,lng
1,栗林公園,りつりんこうえん,観光,34.329904,134.045770
2,金刀比羅宮,ことひらぐう,観光,34.183998,133.809537
3,丸亀城,まるがめじょう,観光,34.285989,133.800375
4,屋島,やしま,観光,34.355707,134.104648
5,父母ヶ浜,ちちぶがはま,観光,34.190919,133.648858
6,銭形砂絵,ぜにがたすなえ,観光,34.134046,133.642148
7,四国水族館,しこくすいぞくかん,観光,34.312655,133.807978
8,瀬戸大橋記念公園,せとおおはしきねんこうえん,観光,34.351377,133.826478
9,高松城跡・玉藻公園,たかまつじょうあとたまもこうえん,観光,34.350316,134.051619
10,総本山善通寺,そうほんざんぜんつうじ,観光,34.226332,133.776179
11,高屋神社,たかやじんじゃ,観光,34.160734,133.654871
12,国営讃岐まんのう公園,こくえいさぬきまんのうこうえん,観光,34.165185,133.889186
13,NEWレオマワールド,にゅーれおまわーるど,観光,34.213078,133.877763
14,大窪寺,おおくぼじ,観光,34.191423,134.206873
15,四国村ミウゼアム,しこくむらみうぜあむ,観光,34.344129,134.108403
16,ヤドン公園,やどんこうえん,観光,34.247140,133.932924
17,さぬきこどもの国,さぬきこどものくに,観光,34.212021,134.016957
18,津田の松原,つだのまつばら,観光,34.286740,134.254423
19,日本ドルフィンセンター,にほんどるふぃんせんたー,観光,34.287931,134.267852
20,旧金毘羅大芝居（金丸座）,きゅうこんぴらおおしばいかなまるざ,観光,34.184713,133.817985
21,丸亀市猪熊弦一郎現代美術館,まるがめしいのくまげんいちろうげんだいびじゅつかん,観光,34.291215,133.792195
22,香川県立東山魁夷せとうち美術館,かがわけんりつひがしやまかいいせとうちびじゅつかん,観光,34.349419,133.824124
23,豊稔池堰堤,ほうねんいけえんてい,観光,34.041832,133.684509
24,紫雲出山,しうでやま,観光,34.243600,133.596256
25,引田の古い町並み・讃州井筒屋敷,ひけたのふるいまちなみさんしゅういづつやしき,観光,34.227850,134.403436
26,高松港,たかまつこう,港,34.354150,134.048714
27,高松空港,たかまつくうこう,空港,34.214895,134.014718
28,高松駅,たかまつえき,駅,34.350897,134.046709
29,高松築港駅,たかまつちっこうえき,駅,34.350781,134.049476
30,瓦町駅,かわらまちえき,駅,34.338961,134.052558
31,栗林駅,りつりんえき,駅,34.332236,134.053636
32,仏生山駅,ぶっしょうざんえき,駅,34.283297,134.042718
33,琴電屋島駅,ことでんやしまえき,駅,34.341550,134.105874
34,坂出駅,さかいでえき,駅,34.313308,133.856614
35,宇多津駅,うたづえき,駅,34.306357,133.813924
36,丸亀駅,まるがめえき,駅,34.291974,133.792917
37,多度津駅,たどつえき,駅,34.271097,133.756769
38,善通寺駅,ぜんつうじえき,駅,34.229976,133.789249
39,琴平駅,ことひらえき,駅,34.191831,133.821300
40,琴電琴平駅,ことでんことひらえき,駅,34.190921,133.819227
41,観音寺駅,かんおんじえき,駅,34.124524,133.655652
42,志度駅,しどえき,駅,34.321615,134.172769
43,綾川駅,あやがわえき,駅,34.249513,133.931674
